country,year,sex,age,suicides_no,population
Brazil,2014,male,75+,390.0,2349303.0
Brazil,2015,female,15-24,397.0,17047218.0
Brazil,2015,female,25-34,466.0,17546090.0
Brazil,2015,female,35-54,910.0,28461855.0
Brazil,2015,female,05-14,56.0,15430579.0
Brazil,2015,female,55-74,479.0,15122216.0
Brazil,2015,female,75+,89.0,3802086.0
Brazil,2015,male,15-24,1389.0,17569045.0
Brazil,2015,male,25-34,1897.0,17625976.0
Brazil,2015,male,35-54,3238.0,26989063.0
Brazil,2015,male,05-14,79.0,16057040.0
Brazil,2015,male,55-74,1693.0,12987357.0
Brazil,2015,male,75+,470.0,2448560.0
Canada,1979,female,15-24,152.0,2300200.0
Canada,1979,female,25-34,155.0,1962300.0
Canada,1979,female,35-54,308.0,2603700.0
Canada,1979,female,05-14,8.0,1856900.0
Canada,1979,female,55-74,182.0,1826200.0
Canada,1979,female,75+,31.0,503600.0
Canada,1979,male,15-24,654.0,2372400.0
Canada,1979,male,25-34,557.0,1970300.0
Canada,1979,male,35-54,745.0,2628200.0
Canada,1979,male,05-14,15.0,1950500.0
Canada,1979,male,55-74,484.0,1613300.0
Canada,1979,male,75+,64.0,320400.0
Canada,1980,female,15-24,124.0,2304200.0
Canada,1980,female,25-34,164.0,2024700.0
Canada,1980,female,35-54,292.0,2639800.0
Canada,1980,female,05-14,6.0,1811900.0
Canada,1980,female,55-74,207.0,1875100.0
Canada,1980,female,75+,31.0,524500.0
Canada,1980,male,15-24,593.0,2387700.0
Canada,1980,male,25-34,599.0,2030700.0
Canada,1980,male,35-54,738.0,2668000.0
Canada,1980,male,05-14,15.0,1904600.0
Canada,1980,male,55-74,460.0,1650200.0
Canada,1980,male,75+,126.0,331100.0
Canada,1981,female,15-24,112.0,2302400.0
Canada,1981,female,25-34,157.0,2110300.0
Canada,1981,female,35-54,302.0,2713700.0
Canada,1981,female,05-14,9.0,1801000.0
Canada,1981,female,55-74,211.0,1934300.0
Canada,1981,female,75+,40.0,544300.0
Canada,1981,male,15-24,640.0,2356300.0
Canada,1981,male,25-34,555.0,2105900.0
Canada,1981,male,35-54,746.0,2753400.0
Canada,1981,male,05-14,26.0,1896600.0
Canada,1981,male,55-74,495.0,1702600.0
