Year,Country,sex,age,suicides_no,population,suicides_by_pop,Happiness Rank,Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption,Generosity,crime_index,saftey_index
2013,Israel,male,55-74,71.0,560632.0,0.012664278885258068,11,7.21299982070923,1.37538242340088,1.37628996372223,0.83840399980545,0.405988603830338,0.0852421000599861,0.330082654953003,48.26,51.74
2013,Israel,male,55-74,71.0,560632.0,0.012664278885258068,19,6.814,1.301,1.559,0.883,0.533,0.272,0.354,48.26,51.74
2013,Israel,male,75+,34.0,160074.0,0.02124017641840649,11,7.21299982070923,1.37538242340088,1.37628996372223,0.83840399980545,0.405988603830338,0.0852421000599861,0.330082654953003,48.26,51.74
2013,Israel,male,75+,34.0,160074.0,0.02124017641840649,19,6.814,1.301,1.559,0.883,0.533,0.272,0.354,48.26,51.74
2015,Israel,female,15-24,8.0,617440.0,0.001295672454003628,11,7.278,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172,30.4,69.6
2015,Israel,female,25-34,13.0,581972.0,0.002233784443237819,11,7.278,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172,30.4,69.6
2015,Israel,female,35-54,20.0,967412.0,0.0020673715025242606,11,7.278,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172,30.4,69.6
2015,Israel,female,05-14,1.0,733603.0,0.0001363135101683063,11,7.278,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172,30.4,69.6
2015,Israel,female,55-74,17.0,664823.0,0.0025570715814585234,11,7.278,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172,30.4,69.6
2015,Israel,female,75+,14.0,241083.0,0.005807128665231477,11,7.278,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172,30.4,69.6
2015,Israel,male,15-24,35.0,644674.0,0.0054291005996829405,11,7.278,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172,30.4,69.6
2015,Israel,male,25-34,45.0,586251.0,0.0076758930901610406,11,7.278,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172,30.4,69.6
2015,Israel,male,35-54,92.0,944406.0,0.00974157300991311,11,7.278,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172,30.4,69.6
2015,Israel,male,05-14,2.0,770443.0,0.00025959091068385333,11,7.278,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172,30.4,69.6
2015,Israel,male,55-74,65.0,595247.0,0.010919836639243877,11,7.278,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172,30.4,69.6
2015,Israel,male,75+,30.0,168826.0,0.017769774797720732,11,7.278,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172,30.4,69.6
2013,Japan,female,15-24,467.0,5834000.0,0.008004799451491258,51,5.92000007629395,1.41691517829895,1.43633782863617,0.913475871086121,0.505625545978546,0.163760736584663,0.12057276815176,13.11,86.89
2013,Japan,female,15-24,467.0,5834000.0,0.008004799451491258,54,5.915,1.294,1.462,0.988,0.553,0.15,0.079,13.11,86.89
2013,Japan,female,25-34,850.0,6913000.0,0.012295674815564879,51,5.92000007629395,1.41691517829895,1.43633782863617,0.913475871086121,0.505625545978546,0.163760736584663,0.12057276815176,13.11,86.89
2013,Japan,female,25-34,850.0,6913000.0,0.012295674815564879,54,5.915,1.294,1.462,0.988,0.553,0.15,0.079,13.11,86.89
2013,Japan,female,35-54,2242.0,16974000.0,0.013208436432190409,51,5.92000007629395,1.41691517829895,1.43633782863617,0.913475871086121,0.505625545978546,0.163760736584663,0.12057276815176,13.11,86.89
2013,Japan,female,35-54,2242.0,16974000.0,0.013208436432190409,54,5.915,1.294,1.462,0.988,0.553,0.15,0.079,13.11,86.89
2013,Japan,female,05-14,34.0,5398000.0,0.0006298629121896999,51,5.92000007629395,1.41691517829895,1.43633782863617,0.913475871086121,0.505625545978546,0.163760736584663,0.12057276815176,13.11,86.89
2013,Japan,female,05-14,34.0,5398000.0,0.0006298629121896999,54,5.915,1.294,1.462,0.988,0.553,0.15,0.079,13.11,86.89
2013,Japan,female,55-74,2604.0,17279000.0,0.015070316569245904,51,5.92000007629395,1.41691517829895,1.43633782863617,0.913475871086121,0.505625545978546,0.163760736584663,0.12057276815176,13.11,86.89
2013,Japan,female,55-74,2604.0,17279000.0,0.015070316569245904,54,5.915,1.294,1.462,0.988,0.553,0.15,0.079,13.11,86.89
2013,Japan,female,75+,1713.0,9588000.0,0.017866082603254067,51,5.92000007629395,1.41691517829895,1.43633782863617,0.913475871086121,0.505625545978546,0.163760736584663,0.12057276815176,13.11,86.89
2013,Japan,female,75+,1713.0,9588000.0,0.017866082603254067,54,5.915,1.294,1.462,0.988,0.553,0.15,0.079,13.11,86.89
2013,Japan,male,15-24,1242.0,6143000.0,0.020218134461989255,51,5.92000007629395,1.41691517829895,1.43633782863617,0.913475871086121,0.505625545978546,0.163760736584663,0.12057276815176,13.11,86.89
2013,Japan,male,15-24,1242.0,6143000.0,0.020218134461989255,54,5.915,1.294,1.462,0.988,0.553,0.15,0.079,13.11,86.89
2013,Japan,male,25-34,2178.0,7186000.0,0.030308934038408016,51,5.92000007629395,1.41691517829895,1.43633782863617,0.913475871086121,0.505625545978546,0.163760736584663,0.12057276815176,13.11,86.89
2013,Japan,male,25-34,2178.0,7186000.0,0.030308934038408016,54,5.915,1.294,1.462,0.988,0.553,0.15,0.079,13.11,86.89
2013,Japan,male,35-54,6333.0,17367000.0,0.036465710830886164,51,5.92000007629395,1.41691517829895,1.43633782863617,0.913475871086121,0.505625545978546,0.163760736584663,0.12057276815176,13.11,86.89
2013,Japan,male,35-54,6333.0,17367000.0,0.036465710830886164,54,5.915,1.294,1.462,0.988,0.553,0.15,0.079,13.11,86.89
2013,Japan,male,05-14,58.0,5666000.0,0.0010236498411577834,51,5.92000007629395,1.41691517829895,1.43633782863617,0.913475871086121,0.505625545978546,0.163760736584663,0.12057276815176,13.11,86.89
2013,Japan,male,05-14,58.0,5666000.0,0.0010236498411577834,54,5.915,1.294,1.462,0.988,0.553,0.15,0.079,13.11,86.89
